no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
450,20,3.217794646578793,19,15,supertrend,0,0,0,1,250,500,100,0.1,10,0,2292,-6402.0,0.39528795811518325
451,65,0.9429254804132865,96,36,supertrend,0,0,0,1,200,50,50,0.1,10,0,8004,-9898.0,0.5082458770614693
452,23,2.5310037598411057,82,43,supertrend,0,0,0,1,200,150,50,0.1,10,0,3596,-11499.0,0.489432703003337
453,20,1.9189864221655661,59,28,supertrend,0,0,0,1,300,500,150,0.1,10,0,5412,-16430.0,0.5064671101256467
454,99,2.753449472341454,40,18,supertrend,0,0,0,1,300,50,200,0.1,10,0,3095,-471.0,0.5072697899838449
455,47,0.9400110914556128,40,20,supertrend,0,0,0,1,400,250,50,0.1,10,0,10753,-1576.0,0.5325025574258346
456,12,3.300823407510366,61,24,supertrend,0,0,0,1,500,400,100,0.1,10,0,2472,161.0,0.4603559870550162
457,63,0.5719824618215655,71,25,supertrend,0,0,0,1,50,250,100,0.1,10,0,12419,10664.0,0.3915774216925678
458,79,1.5287636594914928,57,46,supertrend,0,0,0,1,200,350,100,0.1,10,0,5298,-22122.0,0.4928274820687052
459,10,2.623357903145429,32,13,supertrend,0,0,0,1,200,350,200,0.1,10,0,2918,-22250.0,0.38313913639479097
460,98,0.8525457494889707,47,49,supertrend,0,0,0,1,400,250,250,0.1,10,0,6952,-22129.0,0.5358170310701956
461,11,0.5210608107850812,35,11,supertrend,0,0,0,1,100,450,200,0.1,10,0,20969,-10677.0,0.4919643282941485
462,30,2.7509780056249644,69,45,supertrend,0,0,0,1,450,250,200,0.1,10,0,3209,-6712.0,0.5219694608912434
463,21,2.6333082695860224,36,29,supertrend,0,0,0,1,200,400,50,0.1,10,0,3622,-12042.0,0.46107123136388733
464,49,0.7497223969189786,98,40,supertrend,0,0,0,1,500,450,150,0.1,10,0,8364,-7605.0,0.5442372070779531
465,95,1.2804060290258374,80,45,supertrend,0,0,0,1,150,450,200,0.1,10,0,5974,748.0,0.483260796786073
466,37,3.0654263745583625,79,35,supertrend,0,0,0,1,350,400,250,0.1,10,0,2867,-9735.0,0.49145448203697245
467,25,1.4585475150812264,18,19,supertrend,0,0,0,1,350,350,250,0.1,10,0,7637,14853.0,0.5193138667015844
468,30,2.3678515470145753,30,30,supertrend,0,0,0,1,500,500,150,0.1,10,0,4084,-12022.0,0.5085700293829579
469,74,1.4831143857903673,87,47,supertrend,0,0,0,1,500,500,200,0.1,10,0,5384,-14332.0,0.5312035661218425
470,62,0.7597893357808003,48,6,supertrend,0,0,0,1,350,400,100,0.1,10,0,15810,11773.0,0.4681846932321316
471,46,3.2149832887088095,68,22,supertrend,0,0,0,1,500,150,150,0.1,10,0,2521,-1454.0,0.4831416104720349
472,52,2.05656307652485,15,39,supertrend,0,0,0,1,350,250,150,0.1,10,0,4404,-24316.0,0.5170299727520435
473,73,1.7056172888229058,18,27,supertrend,0,0,0,1,250,50,150,0.1,10,0,5920,15961.0,0.512331081081081
474,67,1.225521673151193,59,40,supertrend,0,0,0,1,50,50,100,0.1,10,0,6550,6280.0,0.3749618320610687
475,44,3.0668899657853923,55,20,supertrend,0,0,0,1,200,500,200,0.1,10,0,2689,3124.0,0.4228337671997025
