no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
447,39,2.3333241822920145,76,22,supertrend,0,0,0,1,35,50,20,0.1,10,0,3857,-681.6500000000055,0.48975887995851697
448,91,0.5226361261355039,47,37,supertrend,0,0,0,1,30,20,20,0.1,10,0,9672,234.57000000003313,0.5686517783291977
449,23,3.130632538488063,16,34,supertrend,0,0,0,1,10,30,25,0.1,10,0,2402,989.1099999999872,0.4575353871773522
450,89,1.0441177976122757,83,5,supertrend,0,0,0,1,20,25,15,0.1,10,0,9207,541.6600000000078,0.4252199413489736
451,53,3.392916000089576,33,18,supertrend,0,0,0,1,45,20,25,0.1,10,0,2107,223.60000000000377,0.44945420028476507
452,92,1.0609243366481722,97,24,supertrend,0,0,0,1,50,30,15,0.1,10,0,8326,196.2300000000057,0.5420369925534471
453,64,1.1427032296333088,90,39,supertrend,0,0,0,1,30,25,15,0.1,10,0,6490,347.3700000000217,0.5600924499229584
454,22,1.2397291255743386,15,35,supertrend,0,0,0,1,5,20,20,0.1,10,0,6790,246.06000000000336,0.4549337260677467
455,90,2.1000550823747828,61,48,supertrend,0,0,0,1,50,35,15,0.1,10,0,3631,-255.39999999999964,0.534288074910493
456,22,0.7732848730332783,62,26,supertrend,0,0,0,1,35,45,5,0.1,10,0,10344,0.5400000000236105,0.546307037896365
457,96,2.3144998951752322,92,17,supertrend,0,0,0,1,50,35,15,0.1,10,0,3620,75.9400000000087,0.469060773480663
458,41,3.184583510883305,100,21,supertrend,0,0,0,1,5,10,5,0.1,10,0,2342,141.2599999999968,0.33432963279248507
459,49,1.9855962239778524,11,34,supertrend,0,0,0,1,50,5,15,0.1,10,0,4377,-946.1699999999953,0.5099383139136395
460,21,2.3365729317199095,17,5,supertrend,0,0,0,1,50,25,10,0.1,10,0,3071,619.3199999999797,0.3718658417453598
461,27,0.7924092455848908,67,38,supertrend,0,0,0,1,40,40,5,0.1,10,0,8296,-165.33999999999673,0.5594262295081968
462,70,1.010524429088641,42,44,supertrend,0,0,0,1,40,5,15,0.1,10,0,6588,826.3299999999904,0.5537340619307832
463,90,2.8777925602343535,59,46,supertrend,0,0,0,1,45,20,5,0.1,10,0,2553,-103.01000000000249,0.5189972581276929
464,46,1.498026660176894,77,30,supertrend,0,0,0,1,40,35,5,0.1,10,0,5990,20.72000000000935,0.5424040066777963
465,88,1.212445474559107,87,33,supertrend,0,0,0,1,20,30,20,0.1,10,0,6642,-328.5399999999988,0.5420054200542005
466,94,0.7056290424040247,98,46,supertrend,0,0,0,1,40,10,25,0.1,10,0,7572,-491.7099999999891,0.5569202324352879
467,98,0.6959437673486527,22,40,supertrend,0,0,0,1,20,40,25,0.1,10,0,8202,482.41000000001213,0.5651060716898317
468,82,1.8982318819102675,99,38,supertrend,0,0,0,1,25,50,5,0.1,10,0,4326,2.9000000000205546,0.53166897827092
469,83,3.363909460511641,93,13,supertrend,0,0,0,1,45,5,10,0.1,10,0,2067,125.94999999999573,0.4741170778906628
470,23,1.1646604447421876,87,18,supertrend,0,0,0,1,20,30,5,0.1,10,0,8884,1560.9099999999844,0.5355695632597929
471,89,3.231593144906242,20,49,supertrend,0,0,0,1,25,5,5,0.1,10,0,2207,-347.1900000000003,0.4997734481196194
472,21,1.1583118350864736,89,11,supertrend,0,0,0,1,5,35,10,0.1,10,0,9534,599.9999999999818,0.44661212502622194
473,100,2.118601635197021,35,9,supertrend,0,0,0,1,50,45,10,0.1,10,0,3891,-355.34999999999286,0.4130043690567977
474,49,2.979207957982971,52,46,supertrend,0,0,0,1,35,5,20,0.1,10,0,2568,-608.6099999999999,0.5116822429906542
475,13,1.7990836125192657,10,24,supertrend,0,0,0,1,40,5,10,0.1,10,0,5442,542.4700000000089,0.5268283719220874
476,62,2.6375374971856473,24,15,supertrend,0,0,0,1,10,30,15,0.1,10,0,3105,832.4200000000073,0.44122383252818037
