no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
1191,85,2.044942960880343,19,5,supertrend,0,0,0,1,250,200,200,0.1,10,0,384,2219.0,0.4114583333333333
1192,67,2.958308109458824,60,30,supertrend,0,0,0,1,150,450,250,0.1,10,0,292,3065.0,0.363013698630137
1193,62,2.3793124430014823,20,43,supertrend,0,0,0,1,50,500,200,0.1,10,0,355,-3096.0,0.21690140845070421
1194,78,1.4791237816064706,29,21,supertrend,0,0,0,1,400,350,50,0.1,10,0,687,7775.0,0.5414847161572053
1195,42,3.1751706240202786,58,49,supertrend,0,0,0,1,250,400,100,0.1,10,0,265,-1679.0,0.47547169811320755
1196,29,1.8195487376121433,19,20,supertrend,0,0,0,1,250,450,100,0.1,10,0,567,-5159.0,0.4603174603174603
1197,16,2.590389438225431,49,46,supertrend,0,0,0,1,200,150,150,0.1,10,0,351,-5435.0,0.46153846153846156
1198,64,0.9041480347367999,56,14,supertrend,0,0,0,1,50,450,150,0.1,10,0,1209,1159.0,0.3523573200992556
1199,39,1.0938619676840342,12,23,supertrend,0,0,0,1,150,50,150,0.1,10,0,891,-2551.0,0.48709315375982043
1200,12,3.0087840737290703,78,25,supertrend,0,0,0,1,50,300,100,0.1,10,0,268,3639.0,0.2537313432835821
1201,95,2.702459623644631,41,7,supertrend,0,0,0,1,350,500,150,0.1,10,0,256,3219.0,0.38671875
1202,42,3.2912861632488615,16,39,supertrend,0,0,0,1,100,300,150,0.1,10,0,255,3574.0,0.3843137254901961
1203,75,2.172129264455971,93,42,supertrend,0,0,0,1,350,450,50,0.1,10,0,385,-3723.0,0.4857142857142857
1204,77,3.2889498638547554,74,5,supertrend,0,0,0,1,400,50,200,0.1,10,0,198,-1133.0,0.4696969696969697
1205,67,0.727999826553188,29,28,supertrend,0,0,0,1,150,300,150,0.1,10,0,1036,-580.0,0.4942084942084942
1206,34,2.6702419671514455,73,37,supertrend,0,0,0,1,350,350,50,0.1,10,0,333,-6304.0,0.4924924924924925
1207,98,2.998669474526496,17,18,supertrend,0,0,0,1,350,500,50,0.1,10,0,250,-3321.0,0.416
1208,20,2.843135106064634,40,5,supertrend,0,0,0,1,350,450,150,0.1,10,0,254,-3211.0,0.37401574803149606
1209,64,2.4461744573240054,15,27,supertrend,0,0,0,1,300,500,250,0.1,10,0,375,8435.0,0.5066666666666667
1210,40,0.8213008370380788,38,45,supertrend,0,0,0,1,400,200,50,0.1,10,0,749,-7142.0,0.5046728971962616
1211,83,0.7811443683095334,97,6,supertrend,0,0,0,1,200,450,200,0.1,10,0,1512,4331.0,0.4576719576719577
1212,24,1.9993479871210873,81,15,supertrend,0,0,0,1,300,300,250,0.1,10,0,503,-862.0,0.4691848906560636
1213,18,1.7856470360629235,46,39,supertrend,0,0,0,1,200,300,50,0.1,10,0,526,-4614.0,0.4790874524714829
1214,97,2.404434456264415,42,44,supertrend,0,0,0,1,300,250,100,0.1,10,0,347,-4212.0,0.46397694524495675
1215,85,2.209085530984181,62,12,supertrend,0,0,0,1,500,300,150,0.1,10,0,405,1297.0,0.43209876543209874
1216,30,1.1876897883957196,26,39,supertrend,0,0,0,1,400,500,50,0.1,10,0,674,-1029.0,0.5341246290801187
1217,29,1.4667670731641191,36,30,supertrend,0,0,0,1,300,150,250,0.1,10,0,660,-2721.0,0.5151515151515151
1218,59,2.3315581766300606,42,40,supertrend,0,0,0,1,150,250,50,0.1,10,0,369,-3668.0,0.41192411924119243
1219,75,3.381751242382437,68,34,supertrend,0,0,0,1,200,450,100,0.1,10,0,236,10810.0,0.4957627118644068
1220,30,0.5103567297518143,53,43,supertrend,0,0,0,1,450,400,200,0.1,10,0,945,-2341.0,0.544973544973545
1221,90,3.101886686855119,15,26,supertrend,0,0,0,1,350,250,100,0.1,10,0,256,-647.0,0.45703125
1222,22,2.2069986244539113,54,47,supertrend,0,0,0,1,450,500,50,0.1,10,0,395,-7483.0,0.4962025316455696
1223,52,3.361327344221143,79,38,supertrend,0,0,0,1,450,400,150,0.1,10,0,248,1214.0,0.5
1224,77,3.0529128125073894,30,6,supertrend,0,0,0,1,50,50,200,0.1,10,0,218,-2631.0,0.23853211009174313
1225,22,2.5546282904738886,11,23,supertrend,0,0,0,1,150,50,50,0.1,10,0,371,765.0,0.4636118598382749
1226,98,1.4263255384208513,69,36,supertrend,0,0,0,1,300,400,150,0.1,10,0,615,-2995.0,0.4894308943089431
1227,92,2.905665672437065,41,28,supertrend,0,0,0,1,450,150,250,0.1,10,0,291,7898.0,0.5532646048109966
1228,22,0.8264986929996554,59,32,supertrend,0,0,0,1,50,500,200,0.1,10,0,921,3558.0,0.35939196525515743
1229,68,1.2222582351991949,93,49,supertrend,0,0,0,1,50,200,100,0.1,10,0,571,-25.0,0.29772329246935203
1230,14,1.4160626799855802,56,20,supertrend,0,0,0,1,200,150,250,0.1,10,0,767,516.0,0.5058670143415906
