time,bid,ask,last,volume,time_msc,flags,volume_real,jst
2025-01-24 18:42:00.397000+00:00,21774.9,21776.7,0.0,0,1737751320397,1030,0.0,2025-01-25 03:42:00.397000+09:00
2025-01-24 18:42:00.598000+00:00,21774.7,21776.5,0.0,0,1737751320598,1030,0.0,2025-01-25 03:42:00.598000+09:00
2025-01-24 18:42:00.698000+00:00,21774.8,21776.6,0.0,0,1737751320698,1030,0.0,2025-01-25 03:42:00.698000+09:00
2025-01-24 18:42:00.799000+00:00,21774.7,21776.5,0.0,0,1737751320799,1030,0.0,2025-01-25 03:42:00.799000+09:00
2025-01-24 18:42:01.300000+00:00,21775.2,21777.0,0.0,0,1737751321300,1030,0.0,2025-01-25 03:42:01.300000+09:00
2025-01-24 18:42:01.599000+00:00,21775.9,21777.7,0.0,0,1737751321599,1030,0.0,2025-01-25 03:42:01.599000+09:00
2025-01-24 18:42:02+00:00,21775.7,21777.5,0.0,0,1737751322000,1030,0.0,2025-01-25 03:42:02+09:00
2025-01-24 18:42:02.100000+00:00,21775.9,21777.7,0.0,0,1737751322100,1030,0.0,2025-01-25 03:42:02.100000+09:00
2025-01-24 18:42:02.200000+00:00,21776.0,21777.8,0.0,0,1737751322200,1030,0.0,2025-01-25 03:42:02.200000+09:00
2025-01-24 18:42:02.301000+00:00,21775.9,21777.7,0.0,0,1737751322301,1030,0.0,2025-01-25 03:42:02.301000+09:00
2025-01-24 18:42:02.602000+00:00,21775.8,21777.6,0.0,0,1737751322602,1030,0.0,2025-01-25 03:42:02.602000+09:00
2025-01-24 18:42:02.702000+00:00,21775.7,21777.5,0.0,0,1737751322702,1030,0.0,2025-01-25 03:42:02.702000+09:00
2025-01-24 18:42:03.400000+00:00,21776.7,21778.5,0.0,0,1737751323400,1030,0.0,2025-01-25 03:42:03.400000+09:00
2025-01-24 18:42:03.801000+00:00,21776.4,21778.2,0.0,0,1737751323801,1030,0.0,2025-01-25 03:42:03.801000+09:00
2025-01-24 18:42:03.904000+00:00,21776.7,21778.5,0.0,0,1737751323904,1030,0.0,2025-01-25 03:42:03.904000+09:00
2025-01-24 18:42:04.002000+00:00,21776.9,21778.7,0.0,0,1737751324002,1030,0.0,2025-01-25 03:42:04.002000+09:00
2025-01-24 18:42:04.103000+00:00,21776.8,21778.6,0.0,0,1737751324103,1030,0.0,2025-01-25 03:42:04.103000+09:00
2025-01-24 18:42:04.202000+00:00,21776.5,21778.3,0.0,0,1737751324202,1030,0.0,2025-01-25 03:42:04.202000+09:00
2025-01-24 18:42:04.301000+00:00,21776.8,21778.6,0.0,0,1737751324301,1030,0.0,2025-01-25 03:42:04.301000+09:00
2025-01-24 18:42:04.601000+00:00,21777.2,21779.0,0.0,0,1737751324601,1030,0.0,2025-01-25 03:42:04.601000+09:00
2025-01-24 18:42:05.002000+00:00,21777.4,21779.2,0.0,0,1737751325002,1030,0.0,2025-01-25 03:42:05.002000+09:00
2025-01-24 18:42:05.104000+00:00,21777.3,21779.1,0.0,0,1737751325104,1030,0.0,2025-01-25 03:42:05.104000+09:00
2025-01-24 18:42:05.203000+00:00,21777.4,21779.2,0.0,0,1737751325203,1030,0.0,2025-01-25 03:42:05.203000+09:00
2025-01-24 18:42:05.403000+00:00,21777.9,21779.7,0.0,0,1737751325403,1030,0.0,2025-01-25 03:42:05.403000+09:00
