no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
562,25,2.5214066211146857,43,47,PPP,0,0,0,1,150,500,250,0.1,10,0,361,5481.0,0.39335180055401664
563,28,1.1794267454605254,12,14,PPP,0,0,0,1,400,350,150,0.1,10,0,1021,3122.0,0.5142017629774731
564,54,0.8442484603704222,67,49,PPP,0,0,0,1,100,400,150,0.1,10,0,740,1573.0,0.37027027027027026
565,92,1.5662088197366348,20,18,PPP,0,0,0,1,250,300,50,0.1,10,0,689,12269.0,0.49782293178519593
566,36,2.8108116471028737,82,14,PPP,0,0,0,1,300,200,100,0.1,10,0,294,4829.0,0.4421768707482993
567,79,2.139966805113649,11,32,PPP,0,0,0,1,100,150,150,0.1,10,0,451,-996.0,0.35476718403547675
568,82,2.160133465674012,20,9,PPP,0,0,0,1,50,500,250,0.1,10,0,418,-1229.0,0.15789473684210525
569,74,1.8424481834844244,39,27,PPP,0,0,0,1,500,450,100,0.1,10,0,561,-818.0,0.5187165775401069
570,59,1.7588614919958312,72,27,PPP,0,0,0,1,100,400,200,0.1,10,0,593,5937.0,0.35413153456998314
571,66,0.5927984843984488,50,19,PPP,0,0,0,1,500,350,100,0.1,10,0,1478,-3555.0,0.5216508795669824
572,15,1.1531772079617708,54,16,PPP,0,0,0,1,100,100,250,0.1,10,0,1045,7799.0,0.44593301435406696
573,72,2.129120557723173,74,4,PPP,0,0,0,1,450,150,200,0.1,10,0,386,-2726.0,0.42487046632124353
574,35,1.274644906089068,49,17,PPP,0,0,0,1,300,50,50,0.1,10,0,899,2196.0,0.4938820912124583
575,58,2.588033321351413,16,47,PPP,0,0,0,1,50,400,100,0.1,10,0,323,-482.0,0.21362229102167182
576,100,1.39857885776621,80,15,PPP,0,0,0,1,450,350,50,0.1,10,0,785,7044.0,0.510828025477707
577,95,1.3675906087945338,15,17,PPP,0,0,0,1,50,350,250,0.1,10,0,813,324.0,0.23247232472324722
578,25,1.0388857960607165,44,47,PPP,0,0,0,1,100,350,50,0.1,10,0,687,2529.0,0.38719068413391555
579,65,2.8575132459163184,22,26,PPP,0,0,0,1,450,300,200,0.1,10,0,300,-1345.0,0.4766666666666667
580,17,2.574690851432715,43,16,PPP,0,0,0,1,450,500,250,0.1,10,0,340,1047.0,0.43529411764705883
