no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
340,32,0.6706577610335837,22,7,supertrend,0,0,0,1,2,2,0,0.1,2,0,18672,12904.740000000007,0.22702442159383032,-2.0739999999990686,199 days 14:30:00
341,43,1.670907647418617,78,11,supertrend,0,0,0,1,1,1,1,0.1,2,0,6726,4635.59,0.11700862325304788,-4.204000000000269,273 days 02:00:00
342,96,3.3317238195436296,79,22,supertrend,0,0,0,1,0,0,0,0.1,2,0,2218,-591.6999999999947,0.4580703336339044,-1866.7389999999943,749 days 08:15:00
343,21,2.420387194932527,88,4,supertrend,0,0,0,1,2,2,0,0.1,2,0,3670,-281.44999999999675,0.06920980926430517,-281.01999999999714,681 days 06:00:00
344,40,2.4436537332962165,41,43,supertrend,0,0,0,1,2,2,1,0.1,2,0,3482,2925.0200000000013,0.18150488225157954,-53.60199999999982,95 days 13:00:00
345,56,3.2645896662114646,31,16,supertrend,0,0,0,1,0,1,0,0.1,2,0,2590,-2399.050000000004,0.44015444015444016,-2722.1900000000014,768 days 14:00:00
346,40,1.782493371148893,51,24,supertrend,0,0,0,1,2,2,0,0.1,2,0,5672,3123.9899999999975,0.15409026798307476,15.28799999999983,197 days 01:30:00
347,43,3.319335433503599,82,44,supertrend,0,0,0,1,2,1,1,0.1,2,0,2364,1910.0399999999931,0.1620135363790186,-65.54800000000122,209 days 22:45:00
348,43,0.5467672000946521,10,42,supertrend,0,0,0,1,0,0,0,0.1,2,0,9588,9438.640000000092,0.5904255319148937,-1514.324000000003,343 days 13:00:00
349,87,0.9440506759402465,96,33,supertrend,0,0,0,1,0,1,0,0.1,2,0,8218,9597.04999999998,0.5693599415916282,-347.3029999999925,575 days 07:45:00
350,21,1.5927056170844742,31,44,supertrend,0,0,0,1,1,1,1,0.1,2,0,5378,3922.3699999999917,0.15303086649312012,6.153999999999996,176 days 22:45:00
351,86,1.7203155830239967,84,44,supertrend,0,0,0,1,2,0,0,0.1,2,0,4573,2892.6200000000044,0.1556964793352285,-68.31999999999967,255 days 10:00:00
352,41,1.5638320229836613,13,22,supertrend,0,0,0,1,1,2,1,0.1,2,0,6591,5251.9600000000055,0.1345774541040813,4.720000000000209,146 days 11:00:00
353,38,2.924350567190877,64,13,supertrend,0,0,0,1,0,1,1,0.1,2,0,2974,-37.05000000002474,0.42737054472091457,-1557.125000000012,715 days 20:45:00
354,52,0.8237806342253464,12,48,supertrend,0,0,0,1,1,0,0,0.1,2,0,7400,5828.909999999993,0.14297297297297298,-10.794000000000187,103 days 05:00:00
355,97,2.2325898951588243,21,17,supertrend,0,0,0,1,2,0,1,0.1,2,0,4074,2637.1000000000013,0.12763868433971526,65.30300000000061,315 days 03:30:00
356,29,1.8942751166331133,58,49,supertrend,0,0,0,1,1,1,1,0.1,2,0,4428,3884.0199999999945,0.14498644986449866,-11.700000000000728,58 days 13:45:00
357,84,1.4646511506350552,70,17,supertrend,0,0,0,1,1,1,0,0.1,2,0,7065,4787.069999999994,0.10658174097664544,7.960000000000036,108 days 08:00:00
358,70,1.8555459407462258,60,17,supertrend,0,0,0,1,0,0,1,0.1,2,0,5560,3206.170000000007,0.5080935251798561,-1067.9139999999986,694 days 10:45:00
359,45,1.3569156677421725,46,50,supertrend,0,0,0,1,2,1,0,0.1,2,0,5425,4125.039999999999,0.1791705069124424,8.649999999999864,344 days 08:45:00
360,90,2.6674362320703535,60,27,supertrend,0,0,0,1,2,0,0,0.1,2,0,3106,2315.7900000000054,0.11912427559562137,0.36000000000012733,357 days 02:00:00
361,90,2.2533121648559513,25,5,supertrend,0,0,0,1,1,2,1,0.1,2,0,3818,674.3000000000021,0.07281299109481404,-59.38000000000011,371 days 20:00:00
362,36,2.0196735308148774,49,5,supertrend,0,0,0,1,0,1,0,0.1,2,0,4628,-6876.509999999987,0.38007778738115816,-7069.518999999992,536 days 20:15:00
363,88,0.8999933303514864,82,14,supertrend,0,0,0,1,1,0,1,0.1,2,0,11822,9427.800000000027,0.13432583319235325,-9.417999999999756,140 days 04:15:00
364,38,2.0507367353178254,82,8,supertrend,0,0,0,1,2,2,1,0.1,2,0,4936,3756.3000000000034,0.1592382495948136,13.333999999999879,126 days 01:15:00
365,61,3.2610275653241994,44,35,supertrend,0,0,0,1,0,1,1,0.1,2,0,2432,3740.1499999999933,0.5160361842105263,-486.8190000000035,296 days 09:15:00
366,63,1.6899959317993785,75,48,supertrend,0,0,0,1,2,2,0,0.1,2,0,4585,4052.5699999999933,0.1624863685932388,29.065999999999896,283 days 04:45:00
367,25,2.113225836743625,47,6,supertrend,0,0,0,1,2,1,0,0.1,2,0,4400,2339.4299999999994,0.09363636363636364,-21.0,463 days 17:45:00
368,33,2.807086489656812,10,7,supertrend,0,0,0,1,1,1,1,0.1,2,0,2976,649.1300000000006,0.07829301075268817,-75.69000000000051,497 days 19:15:00
369,67,3.4416258128880224,82,42,supertrend,0,0,0,1,2,2,1,0.1,2,0,2183,2698.029999999999,0.15849748053137883,-31.779999999999745,383 days 06:15:00
370,85,2.1421640880945727,48,16,supertrend,0,0,0,1,2,1,1,0.1,2,0,4444,2723.850000000006,0.16854185418541853,-44.80199999999932,244 days 15:30:00
371,72,3.377051060437427,93,28,supertrend,0,0,0,1,2,2,0,0.1,2,0,2314,2164.8099999999977,0.10890233362143474,-32.537000000000035,722 days 06:45:00
372,75,2.6829982524173444,60,17,supertrend,0,0,0,1,2,0,0,0.1,2,0,3312,2214.9100000000008,0.11201690821256038,54.65000000000032,645 days 21:45:00
373,23,1.7066719818903233,20,22,supertrend,0,0,0,1,1,1,0,0.1,2,0,6172,5056.720000000005,0.11714193130265717,-8.302000000000088,99 days 18:15:00
374,34,1.3157864915878004,91,45,supertrend,0,0,0,1,1,0,0,0.1,2,0,5881,4919.370000000002,0.1348410134330896,1.7049999999998362,78 days 16:30:00
375,21,1.9413382909919545,94,47,supertrend,0,0,0,1,1,1,0,0.1,2,0,4486,3683.3299999999963,0.11390994204190816,-23.203000000000564,244 days 19:45:00
376,67,0.811641545823241,69,22,supertrend,0,0,0,1,1,0,0,0.1,2,0,10870,7744.180000000012,0.14011039558417662,-16.120000000000026,69 days 13:00:00
377,87,1.8897363742530084,91,10,supertrend,0,0,0,1,0,0,0,0.1,2,0,5349,-1824.2000000000216,0.44326042250888015,-2697.2620000000234,739 days 11:00:00
378,12,2.1065271879350425,96,18,supertrend,0,0,0,1,2,1,0,0.1,2,0,4904,5132.509999999999,0.1635399673735726,10.50800000000022,86 days 21:30:00
379,22,3.113360215543875,72,9,supertrend,0,0,0,1,1,0,0,0.1,2,0,2528,973.6500000000003,0.041930379746835444,61.13999999999987,613 days 02:45:00
380,53,0.6978312900796851,28,32,supertrend,0,0,0,1,0,0,0,0.1,2,0,9996,10805.309999999954,0.5821328531412565,-345.4550000000003,511 days 18:00:00
381,78,0.9851397543827516,13,17,supertrend,0,0,0,1,2,1,0,0.1,2,0,10374,8453.14000000001,0.19597069597069597,-14.11599999999894,125 days 19:30:00
382,58,2.3279016759751388,61,25,supertrend,0,0,0,1,0,0,1,0.1,2,0,4034,2613.769999999996,0.5183440753594447,-926.7109999999984,1147 days 11:45:00
383,20,3.267331600651837,87,33,supertrend,0,0,0,1,1,2,1,0.1,2,0,2538,1473.7699999999977,0.10480693459416864,-11.349999999999909,299 days 13:30:00
384,83,2.712923258324732,63,23,supertrend,0,0,0,1,0,0,1,0.1,2,0,3116,121.91999999999268,0.4874839537869063,-1759.4080000000044,873 days 04:45:00
385,81,0.6248772651140048,23,22,supertrend,0,0,0,1,2,0,0,0.1,2,0,12526,8289.759999999986,0.22233753792112407,11.165999999999963,93 days 05:00:00
386,28,2.5866167889292244,69,40,supertrend,0,0,0,1,1,1,0,0.1,2,0,3439,3464.930000000004,0.09101482989241058,-61.33399999999956,208 days 01:15:00
387,45,2.712316760351351,65,31,supertrend,0,0,0,1,0,2,1,0.1,2,0,3308,700.89,0.5099758162031439,-1723.0850000000023,980 days 13:30:00
388,65,1.4925114392299998,61,26,supertrend,0,0,0,1,2,1,0,0.1,2,0,6404,4770.88000000001,0.16786383510306058,-19.473999999999798,167 days 21:45:00
389,39,2.4540366772810014,93,40,supertrend,0,0,0,1,1,0,1,0.1,2,0,3554,2412.6300000000015,0.08947664603263927,-89.18999999999983,221 days 14:15:00
390,37,2.1454461269760303,38,28,supertrend,0,0,0,1,2,1,1,0.1,2,0,4468,3584.6699999999937,0.1868845120859445,-3.410000000000082,123 days 12:30:00
391,14,1.5260443408725632,76,41,supertrend,0,0,0,1,1,1,1,0.1,2,0,5778,4427.270000000001,0.1505711318795431,-9.95,166 days 00:15:00
392,57,1.6824458037651904,59,8,supertrend,0,0,0,1,1,2,1,0.1,2,0,6648,5628.600000000021,0.1078519855595668,2.5699999999999363,103 days 21:30:00
393,80,3.0066197739656255,39,42,supertrend,0,0,0,1,1,1,0,0.1,2,0,2532,1907.13,0.089652448657188,-25.110000000000127,352 days 21:45:00
394,48,0.5870127547204319,29,48,supertrend,0,0,0,1,2,1,0,0.1,2,0,8622,7170.629999999998,0.22303409881697983,-16.671999999999663,92 days 23:15:00
395,26,1.85686735268887,32,25,supertrend,0,0,0,1,2,0,0,0.1,2,0,5476,4107.520000000008,0.16070124178232287,-75.5009999999993,104 days 23:30:00
396,57,1.774957542001743,20,24,supertrend,0,0,0,1,0,1,0,0.1,2,0,5616,4333.549999999986,0.5350783475783476,-340.64700000000477,1114 days 20:00:00
397,78,1.6570555082814218,91,5,supertrend,0,0,0,1,1,0,0,0.1,2,0,5955,3043.4400000000037,0.06465155331654072,53.32999999999993,574 days 04:30:00
398,75,2.908670805789297,48,12,supertrend,0,0,0,1,0,0,0,0.1,2,0,2882,-1331.4400000000014,0.4260929909784872,-2166.1249999999905,834 days 22:15:00
399,73,1.954472642322078,51,27,supertrend,0,0,0,1,1,1,1,0.1,2,0,4750,3186.6300000000006,0.12336842105263159,-4.4359999999998765,87 days 04:00:00
400,46,3.1867543824682407,45,39,supertrend,0,0,0,1,2,1,1,0.1,2,0,2530,2154.979999999999,0.1616600790513834,-66.28200000000038,270 days 03:45:00
401,39,2.131012528089725,96,50,supertrend,0,0,0,1,0,0,1,0.1,2,0,3850,7330.210000000017,0.5703896103896103,-222.09799999999723,192 days 08:30:00
402,70,2.9513797702017945,82,5,supertrend,0,0,0,1,0,2,0,0.1,2,0,2720,-9103.170000000027,0.34448529411764706,-9260.106000000025,579 days 05:00:00
403,12,0.664935689919445,81,26,supertrend,0,0,0,1,1,2,1,0.1,2,0,12080,8758.34999999999,0.18079470198675496,-6.7599999999997635,50 days 01:00:00
404,50,3.408091228671119,40,17,supertrend,0,0,0,1,0,0,1,0.1,2,0,2412,-1036.5900000000079,0.4407131011608624,-2610.0020000000077,993 days 11:00:00
405,92,1.9787257752874714,21,35,supertrend,0,0,0,1,2,1,1,0.1,2,0,4308,3528.990000000002,0.18918291550603528,-31.75199999999977,117 days 21:45:00
406,85,0.9343380711281601,61,42,supertrend,0,0,0,1,0,0,1,0.1,2,0,7284,8598.810000000005,0.5704283360790774,-848.1490000000017,338 days 05:00:00
