no,p1.n_bo,p1.window,p1.term_max,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
974,2,24,96,supertrend,0,0,0,1,450,500,150,0.1,10,0,416,-92649.0,0.2091346153846154,-96257.6,43 days 12:15:00
975,2,24,96,supertrend,0,0,0,1,500,200,200,0.1,10,0,584,-62421.0,0.3133561643835616,-66075.7,64 days 11:15:00
976,2,24,96,supertrend,0,0,0,1,300,350,150,0.1,10,0,571,-82949.0,0.21015761821366025,-86530.3,50 days 08:00:00
977,2,24,96,supertrend,0,0,0,1,250,500,150,0.1,10,0,571,-67050.0,0.1733800350262697,-70843.0,72 days 02:30:00
978,2,24,96,supertrend,0,0,0,1,100,450,200,0.1,10,0,584,-27241.0,0.10445205479452055,-26791.0,121 days 08:15:00
979,2,24,96,supertrend,0,0,0,1,300,300,150,0.1,10,0,571,-83749.0,0.22416812609457093,-87330.3,26 days 02:45:00
980,2,24,96,supertrend,0,0,0,1,150,350,100,0.1,10,0,584,-36616.0,0.15753424657534246,-39325.0,97 days 04:15:00
981,2,24,96,supertrend,0,0,0,1,200,200,250,0.1,10,0,584,-56035.0,0.2243150684931507,-58519.0,21 days 00:45:00
982,2,24,96,supertrend,0,0,0,1,400,450,100,0.1,10,0,492,-95470.0,0.21341463414634146,-99293.6,43 days 12:15:00
983,2,24,96,supertrend,0,0,0,1,300,150,50,0.1,10,0,584,-52201.0,0.285958904109589,-54662.2,87 days 02:30:00
984,2,24,96,supertrend,0,0,0,1,350,200,250,0.1,10,0,584,-62151.0,0.2842465753424658,-65889.8,45 days 20:30:00
985,2,24,96,supertrend,0,0,0,1,350,450,100,0.1,10,0,539,-90387.0,0.2077922077922078,-94425.6,50 days 08:00:00
986,2,24,96,supertrend,0,0,0,1,100,300,50,0.1,10,0,584,-26197.0,0.13013698630136986,-25747.0,114 days 07:30:00
987,2,24,96,supertrend,0,0,0,1,350,300,200,0.1,10,0,546,-85209.0,0.23809523809523808,-89305.9,33 days 07:45:00
988,2,24,96,supertrend,0,0,0,1,100,100,200,0.1,10,0,584,-28690.0,0.2191780821917808,-28240.0,93 days 06:45:00
989,2,24,96,supertrend,0,0,0,1,500,150,50,0.1,10,0,584,-50129.0,0.3356164383561644,-52490.6,79 days 01:30:00
990,2,24,96,supertrend,0,0,0,1,350,450,200,0.1,10,0,539,-90396.0,0.2077922077922078,-94434.6,50 days 08:00:00
991,2,24,96,supertrend,0,0,0,1,150,500,150,0.1,10,0,584,-38516.0,0.13356164383561644,-41225.0,88 days 03:45:00
992,2,24,96,supertrend,0,0,0,1,450,150,200,0.1,10,0,584,-47689.0,0.3287671232876712,-50163.4,65 days 21:00:00
993,2,24,96,supertrend,0,0,0,1,500,50,50,0.1,10,0,584,-26849.0,0.4006849315068493,-26274.8,114 days 02:00:00
994,2,24,96,supertrend,0,0,0,1,350,500,250,0.1,10,0,539,-90233.0,0.20408163265306123,-94271.6,53 days 22:45:00
995,2,24,96,supertrend,0,0,0,1,500,200,50,0.1,10,0,584,-65132.0,0.3116438356164384,-68703.9,40 days 12:30:00
996,2,24,96,supertrend,0,0,0,1,50,350,50,0.1,10,0,584,-11327.0,0.07534246575342465,-11102.0,535 days 08:30:00
997,2,24,96,supertrend,0,0,0,1,500,50,250,0.1,10,0,584,-23091.0,0.4092465753424658,-22625.7,111 days 23:00:00
998,2,24,96,supertrend,0,0,0,1,400,200,250,0.1,10,0,584,-62265.0,0.2962328767123288,-65898.8,42 days 20:15:00
999,2,24,96,supertrend,0,0,0,1,250,150,150,0.1,10,0,584,-47695.0,0.2808219178082192,-50216.2,65 days 21:00:00
