no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate
859,51,1.5174877611736415,28,34,PPP,0,0,0,1,200,450,250,0.1,10,0,581,-947.5000000000728,0.53184165232358
860,41,2.2854425997637517,26,33,PPP,0,0,0,1,300,450,200,0.1,10,0,425,-1478.4000000001324,0.5058823529411764
861,94,1.3606476093431827,44,29,PPP,0,0,0,1,200,450,100,0.1,10,0,609,1445.2999999999447,0.555008210180624
862,59,1.2795827149022356,51,46,PPP,0,0,0,1,400,350,250,0.1,10,0,581,-515.8999999999869,0.576592082616179
863,66,2.044586644583703,78,31,PPP,0,0,0,1,200,500,50,0.1,10,0,445,-3835.899999999987,0.4898876404494382
864,67,1.9129219639264794,11,9,PPP,0,0,0,1,100,50,200,0.1,10,0,559,-1163.000000000051,0.4329159212880143
865,75,0.5667408303051775,57,22,PPP,0,0,0,1,200,500,200,0.1,10,0,1236,348.39999999987776,0.5550161812297735
866,37,3.3809040691881687,47,32,PPP,0,0,0,1,200,200,200,0.1,10,0,275,-5065.9000000000815,0.44727272727272727
867,20,1.544881827745399,57,31,PPP,0,0,0,1,100,150,100,0.1,10,0,627,-2604.0999999999694,0.4768740031897927
868,39,1.8836853810052472,80,28,PPP,0,0,0,1,250,250,50,0.1,10,0,519,-2955.600000000042,0.5414258188824663
869,74,1.2520049248500413,40,6,PPP,0,0,0,1,500,400,50,0.1,10,0,915,-2295.0000000001746,0.44808743169398907
870,30,2.8365147688346375,75,31,PPP,0,0,0,1,100,250,250,0.1,10,0,342,2118.8000000000175,0.4327485380116959
871,100,3.3470392452930504,16,30,PPP,0,0,0,1,300,350,100,0.1,10,0,227,-294.8000000000029,0.4713656387665198
872,45,3.16020578802453,30,32,PPP,0,0,0,1,350,250,100,0.1,10,0,299,-4941.0000000000655,0.48494983277591974
873,70,0.8750350015759453,56,17,PPP,0,0,0,1,500,500,50,0.1,10,0,1086,649.5999999997803,0.5331491712707183
874,37,1.0711451344964653,64,6,PPP,0,0,0,1,50,250,50,0.1,10,0,1143,290.4999999998545,0.3657042869641295
875,81,2.2140287483539502,93,28,PPP,0,0,0,1,500,500,50,0.1,10,0,405,-3214.300000000083,0.508641975308642
876,69,1.9004280116301244,22,43,PPP,0,0,0,1,100,400,200,0.1,10,0,441,-371.6000000000204,0.43537414965986393
877,80,2.303012747673485,92,10,PPP,0,0,0,1,350,350,50,0.1,10,0,443,2383.699999999968,0.45372460496614
878,15,0.5035198489587509,61,16,PPP,0,0,0,1,400,300,50,0.1,10,0,1764,2243.999999999978,0.5289115646258503
879,38,2.7698645634408896,79,39,PPP,0,0,0,1,150,200,250,0.1,10,0,336,2764.699999999917,0.5
880,22,3.0520021183605808,45,44,PPP,0,0,0,1,450,250,250,0.1,10,0,296,-371.9000000000233,0.5236486486486487
881,43,2.5817800390657313,21,9,PPP,0,0,0,1,150,400,200,0.1,10,0,367,2365.5999999999476,0.40599455040871935
882,18,1.30593649422647,50,45,PPP,0,0,0,1,150,200,100,0.1,10,0,609,-735.9000000001106,0.5303776683087028
883,14,1.482602613575952,98,18,PPP,0,0,0,1,200,400,150,0.1,10,0,755,-5212.000000000095,0.49933774834437084
884,49,3.270316384693026,32,39,PPP,0,0,0,1,50,500,50,0.1,10,0,267,-296.00000000004366,0.23220973782771537
885,85,0.6566778149133047,26,23,PPP,0,0,0,1,150,500,50,0.1,10,0,1116,4059.499999999898,0.5501792114695341
886,11,1.237552950189781,98,33,PPP,0,0,0,1,450,400,150,0.1,10,0,729,-929.9999999999563,0.532235939643347
887,57,1.8419487145111437,29,8,PPP,0,0,0,1,250,500,250,0.1,10,0,583,3109.3999999999505,0.47684391080617494
888,48,2.6150121744735957,16,23,PPP,0,0,0,1,250,300,200,0.1,10,0,395,-3014.700000000048,0.47848101265822784
889,22,1.0541372821978179,48,38,PPP,0,0,0,1,200,50,50,0.1,10,0,743,-110.90000000012515,0.5518169582772544
890,26,2.1503068787369646,53,42,PPP,0,0,0,1,350,450,200,0.1,10,0,430,-3337.400000000045,0.5372093023255814
891,80,2.502706597936844,85,21,PPP,0,0,0,1,450,250,100,0.1,10,0,381,-1613.0,0.48031496062992124
892,35,2.399818604389021,88,15,PPP,0,0,0,1,350,500,100,0.1,10,0,445,-4918.199999999968,0.47191011235955055
893,32,3.3437721129668114,94,39,PPP,0,0,0,1,50,400,150,0.1,10,0,262,1168.5999999999985,0.2748091603053435
894,57,0.7872869976717116,31,26,PPP,0,0,0,1,350,350,250,0.1,10,0,990,4625.1000000001,0.5676767676767677
895,17,1.9663693270493332,72,39,PPP,0,0,0,1,400,400,100,0.1,10,0,473,-31.299999999995634,0.5200845665961945
896,80,2.48977896596993,57,48,PPP,0,0,0,1,500,450,200,0.1,10,0,315,709.6999999998734,0.5619047619047619
897,27,1.0031686510065483,45,23,PPP,0,0,0,1,300,150,200,0.1,10,0,977,-1034.199999999968,0.5271238485158649
898,51,1.7784762897087574,95,34,PPP,0,0,0,1,200,400,150,0.1,10,0,499,-625.0000000000582,0.5050100200400801
899,87,0.645435279227945,99,36,PPP,0,0,0,1,400,500,150,0.1,10,0,905,367.5000000000291,0.5767955801104973
900,85,2.366734609339046,35,42,PPP,0,0,0,1,150,350,200,0.1,10,0,335,-2252.1999999999534,0.4746268656716418
901,63,2.555773847475029,24,18,PPP,0,0,0,1,500,100,50,0.1,10,0,403,2063.8000000000393,0.5086848635235732
902,31,1.3433021520698225,53,43,PPP,0,0,0,1,50,150,100,0.1,10,0,605,916.9999999999636,0.4
903,81,1.30257957931643,17,5,PPP,0,0,0,1,400,500,50,0.1,10,0,811,2528.200000000019,0.44882860665844637
904,68,3.2741497736122196,75,22,PPP,0,0,0,1,500,300,150,0.1,10,0,283,-2733.600000000064,0.4452296819787986
