time,bid,ask,last,volume,time_msc,flags,volume_real,jst
2025-01-24 16:34:00.052000+00:00,21875.0,21876.9,0.0,0,1737743640052,1030,0.0,2025-01-25 01:34:00.052000+09:00
2025-01-24 16:34:00.149000+00:00,21874.9,21876.8,0.0,0,1737743640149,1030,0.0,2025-01-25 01:34:00.149000+09:00
2025-01-24 16:34:00.250000+00:00,21875.2,21877.1,0.0,0,1737743640250,1030,0.0,2025-01-25 01:34:00.250000+09:00
2025-01-24 16:34:00.349000+00:00,21875.1,21877.0,0.0,0,1737743640349,1030,0.0,2025-01-25 01:34:00.349000+09:00
2025-01-24 16:34:00.450000+00:00,21874.9,21876.8,0.0,0,1737743640450,1030,0.0,2025-01-25 01:34:00.450000+09:00
2025-01-24 16:34:00.549000+00:00,21875.1,21877.0,0.0,0,1737743640549,1030,0.0,2025-01-25 01:34:00.549000+09:00
2025-01-24 16:34:00.853000+00:00,21875.4,21877.3,0.0,0,1737743640853,1030,0.0,2025-01-25 01:34:00.853000+09:00
2025-01-24 16:34:01.250000+00:00,21874.9,21876.8,0.0,0,1737743641250,1030,0.0,2025-01-25 01:34:01.250000+09:00
2025-01-24 16:34:01.348000+00:00,21875.1,21877.0,0.0,0,1737743641348,1030,0.0,2025-01-25 01:34:01.348000+09:00
2025-01-24 16:34:01.549000+00:00,21875.4,21877.3,0.0,0,1737743641549,1030,0.0,2025-01-25 01:34:01.549000+09:00
2025-01-24 16:34:01.649000+00:00,21875.1,21877.0,0.0,0,1737743641649,1030,0.0,2025-01-25 01:34:01.649000+09:00
2025-01-24 16:34:01.850000+00:00,21875.0,21876.9,0.0,0,1737743641850,1030,0.0,2025-01-25 01:34:01.850000+09:00
2025-01-24 16:34:01.950000+00:00,21874.9,21876.8,0.0,0,1737743641950,1030,0.0,2025-01-25 01:34:01.950000+09:00
2025-01-24 16:34:02.350000+00:00,21875.0,21876.9,0.0,0,1737743642350,1030,0.0,2025-01-25 01:34:02.350000+09:00
2025-01-24 16:34:02.549000+00:00,21874.9,21876.8,0.0,0,1737743642549,1030,0.0,2025-01-25 01:34:02.549000+09:00
2025-01-24 16:34:02.750000+00:00,21875.1,21877.0,0.0,0,1737743642750,1030,0.0,2025-01-25 01:34:02.750000+09:00
2025-01-24 16:34:02.851000+00:00,21875.2,21877.1,0.0,0,1737743642851,1030,0.0,2025-01-25 01:34:02.851000+09:00
2025-01-24 16:34:02.951000+00:00,21875.4,21877.3,0.0,0,1737743642951,1030,0.0,2025-01-25 01:34:02.951000+09:00
2025-01-24 16:34:03.051000+00:00,21875.7,21877.6,0.0,0,1737743643051,1030,0.0,2025-01-25 01:34:03.051000+09:00
2025-01-24 16:34:03.149000+00:00,21875.6,21877.5,0.0,0,1737743643149,1030,0.0,2025-01-25 01:34:03.149000+09:00
2025-01-24 16:34:03.349000+00:00,21875.4,21877.3,0.0,0,1737743643349,1030,0.0,2025-01-25 01:34:03.349000+09:00
2025-01-24 16:34:03.750000+00:00,21875.5,21877.4,0.0,0,1737743643750,1030,0.0,2025-01-25 01:34:03.750000+09:00
2025-01-24 16:34:04.150000+00:00,21875.6,21877.5,0.0,0,1737743644150,1030,0.0,2025-01-25 01:34:04.150000+09:00
2025-01-24 16:34:04.249000+00:00,21875.4,21877.3,0.0,0,1737743644249,1030,0.0,2025-01-25 01:34:04.249000+09:00
2025-01-24 16:34:05.251000+00:00,21875.6,21877.5,0.0,0,1737743645251,1030,0.0,2025-01-25 01:34:05.251000+09:00
2025-01-24 16:34:05.351000+00:00,21875.5,21877.4,0.0,0,1737743645351,1030,0.0,2025-01-25 01:34:05.351000+09:00
2025-01-24 16:34:05.553000+00:00,21875.6,21877.5,0.0,0,1737743645553,1030,0.0,2025-01-25 01:34:05.553000+09:00
