no,p1.atr_window,p1.atr_multiply,p1.ma_window,p1.short_term,p2.strategy,p2.begin_hour,p2.begin_minute,p2.hours,p2.sl.method,p2.sl.value,p2.target_profit,p2.trail_stop,p2.volume,p2.position_max,p2.timelimit,trade_num,profit,win_rate,drawdown,t_drawdown
380,83,0.8669805644037285,39,45,supertrend,0,0,0,1,200,200,200,0.1,10,0,771,7089.0,0.5058365758754864,-1307.0,42 days 16:45:00
381,49,1.672273553373731,66,48,supertrend,0,0,0,1,100,50,100,0.1,10,0,517,299.0,0.390715667311412,-1168.0,134 days 23:45:00
382,77,2.614097426230794,100,21,supertrend,0,0,0,1,200,400,200,0.1,10,0,354,-1141.0,0.3926553672316384,-2883.0,122 days 05:15:00
383,42,0.8530458458430363,14,20,supertrend,0,0,0,1,250,500,50,0.1,10,0,1169,1536.0,0.5115483319076134,-3785.0,83 days 03:45:00
384,74,1.123753582794242,34,32,supertrend,0,0,0,1,100,450,150,0.1,10,0,795,3122.0,0.37484276729559746,-611.0,44 days 00:00:00
385,24,2.491670514166929,78,42,supertrend,0,0,0,1,200,300,150,0.1,10,0,367,-329.0,0.41689373297002724,-2481.0,87 days 05:30:00
386,77,0.8756223279863105,86,30,supertrend,0,0,0,1,350,250,250,0.1,10,0,955,4970.0,0.5340314136125655,-1925.0,54 days 08:30:00
387,19,1.4046752494037729,94,5,supertrend,0,0,0,1,200,300,150,0.1,10,0,696,-3855.0,0.3620689655172414,-4228.0,13 days 18:15:00
388,74,1.8023811660119264,82,47,supertrend,0,0,0,1,400,100,200,0.1,10,0,473,-2321.0,0.4820295983086681,-4640.0,69 days 08:00:00
389,26,2.8410025562395287,87,35,supertrend,0,0,0,1,150,100,100,0.1,10,0,324,-1037.0,0.3950617283950617,-2701.0,102 days 17:30:00
390,75,3.363848055066474,75,6,supertrend,0,0,0,1,300,150,100,0.1,10,0,214,-763.0,0.4158878504672897,-1986.0,56 days 02:00:00
391,57,2.7184152319715102,60,42,supertrend,0,0,0,1,150,500,100,0.1,10,0,325,2505.0,0.3569230769230769,-3122.0,137 days 02:45:00
392,14,3.042336778384735,19,16,supertrend,0,0,0,1,350,250,250,0.1,10,0,236,6316.0,0.4576271186440678,-1906.0,42 days 19:45:00
393,18,1.372829929552406,53,44,supertrend,0,0,0,1,500,400,150,0.1,10,0,621,7030.0,0.5410628019323671,-1729.0,45 days 18:15:00
394,27,2.687725678120609,15,10,supertrend,0,0,0,1,400,250,150,0.1,10,0,302,3224.0,0.4304635761589404,-3677.0,49 days 04:00:00
395,38,1.7074451138010982,51,50,supertrend,0,0,0,1,400,350,150,0.1,10,0,503,-2806.0,0.5149105367793241,-9388.0,113 days 14:30:00
396,95,0.7528548368970996,97,20,supertrend,0,0,0,1,150,200,50,0.1,10,0,1261,-2905.0,0.45519429024583663,-7012.0,144 days 19:30:00
